Column number,Variable name,Type,Observation,Function,Component,Description,Measurement type,Domain
22,Avg-of-tBodyGyro-mean()-Y,Numeric,tBodyGyro,mean,Y,Body angular velocity,Average of mean value,Time domain signal
23,Avg-of-tBodyGyro-mean()-Z,Numeric,tBodyGyro,mean,Z,Body angular velocity,Average of mean value,Time domain signal
24,Avg-of-tBodyGyro-std()-X,Numeric,tBodyGyro,std,X,Body angular velocity,Average of standard deviation,Time domain signal
25,Avg-of-tBodyGyro-std()-Y,Numeric,tBodyGyro,std,Y,Body angular velocity,Average of standard deviation,Time domain signal
26,Avg-of-tBodyGyro-std()-Z,Numeric,tBodyGyro,std,Z,Body angular velocity,Average of standard deviation,Time domain signal
27,Avg-of-tBodyGyroJerk-mean()-X,Numeric,tBodyGyroJerk,mean,X,Jerk of body angular velocity,Average of mean value,Time domain signal
28,Avg-of-tBodyGyroJerk-mean()-Y,Numeric,tBodyGyroJerk,mean,Y,Jerk of body angular velocity,Average of mean value,Time domain signal
29,Avg-of-tBodyGyroJerk-mean()-Z,Numeric,tBodyGyroJerk,mean,Z,Jerk of body angular velocity,Average of mean value,Time domain signal
30,Avg-of-tBodyGyroJerk-std()-X,Numeric,tBodyGyroJerk,std,X,Jerk of body angular velocity,Average of standard deviation,Time domain signal
31,Avg-of-tBodyGyroJerk-std()-Y,Numeric,tBodyGyroJerk,std,Y,Jerk of body angular velocity,Average of standard deviation,Time domain signal
32,Avg-of-tBodyGyroJerk-std()-Z,Numeric,tBodyGyroJerk,std,Z,Jerk of body angular velocity,Average of standard deviation,Time domain signal
33,Avg-of-tBodyAccMag-mean(),Numeric,tBodyAccMag,mean,NA,Magnitude of body linear acceleration (using Euclidean norm),Average of mean value,Time domain signal
34,Avg-of-tBodyAccMag-std(),Numeric,tBodyAccMag,std,NA,Magnitude of body linear acceleration (using Euclidean norm),Average of standard deviation,Time domain signal
35,Avg-of-tGravityAccMag-mean(),Numeric,tGravityAccMag,mean,NA,Gravity linear acceleration,Average of mean value,Time domain signal
36,Avg-of-tGravityAccMag-std(),Numeric,tGravityAccMag,std,NA,Gravity linear acceleration,Average of standard deviation,Time domain signal
37,Avg-of-tBodyAccJerkMag-mean(),Numeric,tBodyAccJerkMag,mean,NA,Magnitude of jerk of body linear acceleration (using Euclidean norm),Average of mean value,Time domain signal
38,Avg-of-tBodyAccJerkMag-std(),Numeric,tBodyAccJerkMag,std,NA,Magnitude of jerk of body linear acceleration (using Euclidean norm),Average of standard deviation,Time domain signal
39,Avg-of-tBodyGyroMag-mean(),Numeric,tBodyGyroMag,mean,NA,Magnitude of body angular velocity (using Euclidean norm),Average of mean value,Time domain signal
40,Avg-of-tBodyGyroMag-std(),Numeric,tBodyGyroMag,std,NA,Magnitude of body angular velocity (using Euclidean norm),Average of standard deviation,Time domain signal
41,Avg-of-tBodyGyroJerkMag-mean(),Numeric,tBodyGyroJerkMag,mean,NA,Magnitude of jerk of body angular velocity (using Euclidean norm),Average of mean value,Time domain signal
42,Avg-of-tBodyGyroJerkMag-std(),Numeric,tBodyGyroJerkMag,std,NA,Magnitude of jerk of body angular velocity (using Euclidean norm),Average of standard deviation,Time domain signal
43,Avg-of-fBodyAcc-mean()-X,Numeric,fBodyAcc,mean,X,Body linear acceleration,Average of mean value,Frequency domain signal
44,Avg-of-fBodyAcc-mean()-Y,Numeric,fBodyAcc,mean,Y,Body linear acceleration,Average of mean value,Frequency domain signal
45,Avg-of-fBodyAcc-mean()-Z,Numeric,fBodyAcc,mean,Z,Body linear acceleration,Average of mean value,Frequency domain signal
46,Avg-of-fBodyAcc-std()-X,Numeric,fBodyAcc,std,X,Body linear acceleration,Average of standard deviation,Frequency domain signal
47,Avg-of-fBodyAcc-std()-Y,Numeric,fBodyAcc,std,Y,Body linear acceleration,Average of standard deviation,Frequency domain signal
48,Avg-of-fBodyAcc-std()-Z,Numeric,fBodyAcc,std,Z,Body linear acceleration,Average of standard deviation,Frequency domain signal
49,Avg-of-fBodyAccJerk-mean()-X,Numeric,fBodyAccJerk,mean,X,Jerk of body linear acceleration,Average of mean value,Frequency domain signal
50,Avg-of-fBodyAccJerk-mean()-Y,Numeric,fBodyAccJerk,mean,Y,Jerk of body linear acceleration,Average of mean value,Frequency domain signal
51,Avg-of-fBodyAccJerk-mean()-Z,Numeric,fBodyAccJerk,mean,Z,Jerk of body linear acceleration,Average of mean value,Frequency domain signal
52,Avg-of-fBodyAccJerk-std()-X,Numeric,fBodyAccJerk,std,X,Jerk of body linear acceleration,Average of standard deviation,Frequency domain signal
53,Avg-of-fBodyAccJerk-std()-Y,Numeric,fBodyAccJerk,std,Y,Jerk of body linear acceleration,Average of standard deviation,Frequency domain signal
54,Avg-of-fBodyAccJerk-std()-Z,Numeric,fBodyAccJerk,std,Z,Jerk of body linear acceleration,Average of standard deviation,Frequency domain signal
55,Avg-of-fBodyGyro-mean()-X,Numeric,fBodyGyro,mean,X,Body angular velocity,Average of mean value,Frequency domain signal
56,Avg-of-fBodyGyro-mean()-Y,Numeric,fBodyGyro,mean,Y,Body angular velocity,Average of mean value,Frequency domain signal
57,Avg-of-fBodyGyro-mean()-Z,Numeric,fBodyGyro,mean,Z,Body angular velocity,Average of mean value,Frequency domain signal
58,Avg-of-fBodyGyro-std()-X,Numeric,fBodyGyro,std,X,Body angular velocity,Average of standard deviation,Frequency domain signal
59,Avg-of-fBodyGyro-std()-Y,Numeric,fBodyGyro,std,Y,Body angular velocity,Average of standard deviation,Frequency domain signal
60,Avg-of-fBodyGyro-std()-Z,Numeric,fBodyGyro,std,Z,Body angular velocity,Average of standard deviation,Frequency domain signal
61,Avg-of-fBodyAccMag-mean(),Numeric,fBodyAccMag,mean,NA,Magnitude of body linear acceleration (using Euclidean norm),Average of mean value,Frequency domain signal
62,Avg-of-fBodyAccMag-std(),Numeric,fBodyAccMag,std,NA,Magnitude of body linear acceleration (using Euclidean norm),Average of standard deviation,Frequency domain signal
63,Avg-of-fBodyAccJerkMag-mean(),Numeric,fBodyAccJerkMag,mean,NA,Magnitude of jerk of body linear acceleration (using Euclidean norm),Average of mean value,Frequency domain signal
64,Avg-of-fBodyAccJerkMag-std(),Numeric,fBodyAccJerkMag,std,NA,Magnitude of jerk of body linear acceleration (using Euclidean norm),Average of standard deviation,Frequency domain signal
65,Avg-of-fBodyGyroMag-mean(),Numeric,fBodyGyroMag,mean,NA,Magnitude of body angular velocity (using Euclidean norm),Average of mean value,Frequency domain signal
66,Avg-of-fBodyGyroMag-std(),Numeric,fBodyGyroMag,std,NA,Magnitude of body angular velocity (using Euclidean norm),Average of standard deviation,Frequency domain signal
67,Avg-of-fBodyGyroJerkMag-mean(),Numeric,fBodyGyroJerkMag,mean,NA,Magnitude of jerk of body angular velocity (using Euclidean norm),Average of mean value,Frequency domain signal
68,Avg-of-fBodyGyroJerkMag-std(),Numeric,fBodyGyroJerkMag,std,NA,Magnitude of jerk of body angular velocity (using Euclidean norm),Average of standard deviation,Frequency domain signal
